run_id,tech,generation,coverage,assembler,reference,seed,n50,contigs,largest_contig,total_length,genome_fraction_pct,mismatches_per_100_kbp,indels_per_100_kbp,misassemblies,busco_complete_pct,merqury_qv,ram_mb,wall_sec
hifi_10x_hifiasm_orig_s13,hifi,hifi,10,hifiasm,orig,13,1082721,6,1788575,4648241,99.755,1.01,1.51,0,100.0,,,
hifi_20x_hifiasm_orig_s13,hifi,hifi,20,hifiasm,orig,13,4641675,1,4641675,4641675,100.0,0.0,0.0,0,100.0,,,
hifi_30x_hifiasm_orig_s13,hifi,hifi,30,hifiasm,orig,13,4641677,1,4641677,4641677,100.0,0.0,0.0,0,100.0,,,
hifi_30x_hifiasm_plasmid_s13,hifi,hifi,30,hifiasm,plasmid,13,4641665,2,4641665,4691676,100.0,0.0,0.0,0,100.0,,,
hifi_30x_hifiasm_rep_v1_s13,hifi,hifi,30,hifiasm,rep_v1,13,4656685,2,4656685,4684402,100.0,0.0,0.0,0,100.0,,,
hifi_30x_hifiasm_rep_v2_s13,hifi,hifi,30,hifiasm,rep_v2,13,4259389,3,4259389,4716723,100.0,0.0,0.0,1,100.0,,,
hifi_50x_hifiasm_orig_s13,hifi,hifi,50,hifiasm,orig,13,4641697,1,4641697,4641697,100.0,0.0,0.0,0,100.0,,,
hifi_5x_flye_orig_s13,hifi,hifi,5,flye,orig,13,67109,55,251744,3350707,68.364,11.85,10.96,3,59.7,,,
hifi_5x_hifiasm_orig_s13,hifi,hifi,5,hifiasm,orig,13,112839,46,223814,4260737,90.677,10.49,18.52,1,90.3,,,
hybrid_10x_unicycler_orig_s13,hybrid,hybrid,10,unicycler,orig,13,1526034,7,2088258,4632963,99.815,8.48,1.47,2,99.2,,,
hybrid_20x_unicycler_orig_s13,hybrid,hybrid,20,unicycler,orig,13,4641546,1,4641546,4641546,99.998,1.51,0.19,0,100.0,,,
hybrid_30x_unicycler_orig_s13,hybrid,hybrid,30,unicycler,orig,13,4641519,1,4641519,4641519,99.997,1.06,0.26,0,100.0,,,
hybrid_50x_unicycler_orig_s13,hybrid,hybrid,50,unicycler,orig,13,4641510,1,4641510,4641510,99.997,1.06,0.26,0,100.0,,,
hybrid_5x_unicycler_orig_s13,hybrid,hybrid,5,unicycler,orig,13,196007,59,851109,4629302,98.539,48.27,10.63,5,96.0,,,
illumina_10x_spades_orig_s13,illumina,illumina,10,spades,orig,13,78653,129,189459,4562449,98.262,3.13,0.18,0,99.2,,,
illumina_20x_spades_orig_s13,illumina,illumina,20,spades,orig,13,117644,89,327173,4561826,98.261,0.77,0.11,0,100.0,,,
illumina_30x_spades_orig_s13,illumina,illumina,30,spades,orig,13,133044,82,327173,4564281,98.316,1.03,0.15,0,100.0,,,
illumina_30x_spades_plasmid_s13,illumina,illumina,30,spades,plasmid,13,133044,83,327173,4614267,98.331,1.02,0.15,0,100.0,,,
illumina_30x_spades_rep_v1_s13,illumina,illumina,30,spades,rep_v1,13,117644,87,327173,4565600,98.03,1.12,0.22,0,100.0,,,
illumina_30x_spades_rep_v2_s13,illumina,illumina,30,spades,rep_v2,13,132608,91,311725,4568607,98.028,0.7,0.13,3,100.0,,,
illumina_50x_spades_orig_s13,illumina,illumina,50,spades,orig,13,133044,87,327173,4565224,98.332,0.79,0.15,0,100.0,,,
illumina_5x_spades_orig_s13,illumina,illumina,5,spades,orig,13,5128,1296,21429,4440375,95.57,33.34,1.51,7,79.8,,,
ont_r10_10x_flye_orig_s13,ont_r10,ont_r10,10,flye,orig,13,1749036,8,1757070,4658441,99.982,4.44,6.12,0,99.2,,,
ont_r10_10x_miniasm_orig_s13,ont_r10,ont_r10,10,miniasm,orig,13,103463,51,239990,3921787,84.216,508.89,575.4,0,45.2,,,
ont_r10_10x_raven_orig_s13,ont_r10,ont_r10,10,raven,orig,13,137974,44,261441,4154462,89.362,5.39,6.11,1,87.1,,,
ont_r10_20x_flye_orig_s13,ont_r10,ont_r10,20,flye,orig,13,4641650,1,4641650,4641650,100.0,0.0,0.0,0,100.0,,,
ont_r10_20x_miniasm_orig_s13,ont_r10,ont_r10,20,miniasm,orig,13,4632877,1,4632877,4632877,99.938,456.66,510.85,0,49.2,,,
ont_r10_20x_raven_orig_s13,ont_r10,ont_r10,20,raven,orig,13,4640760,1,4640760,4640760,99.98,0.04,0.02,0,100.0,,,
ont_r10_30x_flye_orig_s13,ont_r10,ont_r10,30,flye,orig,13,4553279,2,4553279,4644248,99.959,0.0,0.0,0,100.0,,,
