run_id,stage,indels_per_100kbp,mismatches_per_100kbp,n50,contigs
ont_r9_10x_flye_orig_s13,pre,756.71,482.13,536312,19
ont_r9_10x_flye_orig_s13,post,739.33,469.45,535770,19
ont_r9_20x_flye_orig_s13,pre,130.01,40.48,4636615,2
ont_r9_20x_flye_orig_s13,post,132.35,49.59,4636363,2
ont_r9_30x_flye_orig_s13,pre,79.69,16.84,4638032,2
ont_r9_30x_flye_orig_s13,post,81.31,26.74,4637948,2
ont_r9_50x_flye_orig_s13,pre,60.62,5.71,4638793,2
ont_r9_50x_flye_orig_s13,post,61.87,18.56,4638735,2
ont_r9_5x_flye_orig_s13,pre,2086.48,1534.45,132464,43
ont_r9_5x_flye_orig_s13,post,2011.45,1437.48,131262,43
ont_r10_10x_flye_orig_s13,pre,6.12,4.44,1749036,8
ont_r10_10x_flye_orig_s13,post,5.62,4.21,1749015,8
ont_r10_20x_flye_orig_s13,pre,0.00,0.00,4641650,1
ont_r10_20x_flye_orig_s13,post,0.00,0.00,4641650,1
ont_r10_30x_flye_orig_s13,pre,0.00,0.00,4553279,2
ont_r10_30x_flye_orig_s13,post,0.00,0.00,4553279,2
ont_r10_50x_flye_orig_s13,pre,0.00,0.00,4641651,1
ont_r10_50x_flye_orig_s13,post,0.00,0.00,4641651,1
ont_r10_5x_flye_orig_s13,pre,82.71,65.60,128381,48
ont_r10_5x_flye_orig_s13,post,82.57,64.98,128340,48
