dataset,tech,coverage,reference,read_files,total_reads,total_bases,avg_read_length,n50,estimated_coverage
hifi_5x,hifi,5,orig,data/reads/hifi_5x.fastq,1531,23211029,15160.7,15445,5.0
hifi_10x,hifi,10,orig,data/reads/hifi_10x.fastq,3080,46420216,15071.5,15403,10.0
hifi_20x,hifi,20,orig,data/reads/hifi_20x.fastq,6148,92842116,15101.19,15453,20.0
hifi_30x,hifi,30,orig,data/reads/hifi_30x.fastq,9244,139253815,15064.24,15416,30.0
hifi_50x,hifi,50,orig,data/reads/hifi_50x.fastq,15388,232090750,15082.58,15418,50.0
illumina_5x,illumina,5,orig,data/reads/illumina_5x_1.fastq;data/reads/illumina_5x_2.fastq,154720,23208000,150.0,150,5.0
illumina_10x,illumina,10,orig,data/reads/illumina_10x_1.fastq;data/reads/illumina_10x_2.fastq,309440,46416000,150.0,150,10.0
illumina_20x,illumina,20,orig,data/reads/illumina_20x_1.fastq;data/reads/illumina_20x_2.fastq,618880,92832000,150.0,150,20.0
illumina_30x,illumina,30,orig,data/reads/illumina_30x_1.fastq;data/reads/illumina_30x_2.fastq,928320,139248000,150.0,150,30.0
illumina_50x,illumina,50,orig,data/reads/illumina_50x_1.fastq;data/reads/illumina_50x_2.fastq,1547200,232080000,150.0,150,50.0
ont_r10_5x,ont_r10,5,orig,data/reads/ont_r10_5x.fastq,2337,23208845,9931.04,11635,5.0
ont_r10_10x,ont_r10,10,orig,data/reads/ont_r10_10x.fastq,4650,46418875,9982.55,11732,10.0
ont_r10_20x,ont_r10,20,orig,data/reads/ont_r10_20x.fastq,9245,92849337,10043.19,11867,20.0
ont_r10_30x,ont_r10,30,orig,data/reads/ont_r10_30x.fastq,13869,139250791,10040.43,11783,30.0
ont_r10_50x,ont_r10,50,orig,data/reads/ont_r10_50x.fastq,23057,232088933,10065.88,11787,50.0
ont_r9_5x,ont_r9,5,orig,data/reads/ont_r9_5x.fastq,2338,23213353,9928.72,11626,5.0
ont_r9_10x,ont_r9,10,orig,data/reads/ont_r9_10x.fastq,4690,46417715,9897.17,11571,10.0
ont_r9_20x,ont_r9,20,orig,data/reads/ont_r9_20x.fastq,9439,92842595,9836.06,11501,20.0
ont_r9_30x,ont_r9,30,orig,data/reads/ont_r9_30x.fastq,14115,139266189,9866.54,11515,30.0
ont_r9_50x,ont_r9,50,orig,data/reads/ont_r9_50x.fastq,23587,232084322,9839.5,11503,50.0
hifi_30x_plasmid,hifi,30,plasmid,data/reads/hifi_30x_plasmid.fastq,9311,140750302,15116.56,15528,30.32
illumina_30x_plasmid,illumina,30,plasmid,data/reads/illumina_30x_plasmid_1.fastq;data/reads/illumina_30x_plasmid_2.fastq,938310,140746500,150.0,150,30.32
ont_r10_30x_plasmid,ont_r10,30,plasmid,data/reads/ont_r10_30x_plasmid.fastq,13941,140754404,10096.44,11811,30.32
hifi_30x_rep_v1,hifi,30,rep_v1,data/reads/hifi_30x_rep_v1.fastq,9228,139701563,15138.88,15492,30.1
illumina_30x_rep_v1,illumina,30,rep_v1,data/reads/illumina_30x_rep_v1_1.fastq;data/reads/illumina_30x_rep_v1_2.fastq,931320,139698000,150.0,150,30.1
ont_r10_30x_rep_v1,ont_r10,30,rep_v1,data/reads/ont_r10_30x_rep_v1.fastq,13865,139701295,10075.82,11744,30.1
hifi_30x_rep_v2,hifi,30,rep_v2,data/reads/hifi_30x_rep_v2.fastq,9243,139802095,15125.19,15522,30.12
illumina_30x_rep_v2,illumina,30,rep_v2,data/reads/illumina_30x_rep_v2_1.fastq;data/reads/illumina_30x_rep_v2_2.fastq,931920,139788000,150.0,150,30.12
ont_r10_30x_rep_v2,ont_r10,30,rep_v2,data/reads/ont_r10_30x_rep_v2.fastq,13876,139791806,10074.36,11784,30.12
