run_id,tech,coverage,assembler,reference,seed,ram_mb,wall_sec
hifi_5x_hifiasm_orig_s13,hifi,5,hifiasm,orig,13,16625.0,6.04
hifi_5x_flye_orig_s13,hifi,5,flye,orig,13,1465.15,16.0
hifi_30x_hifiasm_orig_s13,hifi,30,hifiasm,orig,13,16996.14,21.04
hifi_10x_hifiasm_orig_s13,hifi,10,hifiasm,orig,13,16727.47,7.61
hifi_20x_hifiasm_orig_s13,hifi,20,hifiasm,orig,13,16923.95,12.38
hifi_50x_hifiasm_orig_s13,hifi,50,hifiasm,orig,13,17038.51,41.87
illumina_5x_spades_orig_s13,illumina,5,spades,orig,13,637.17,24.83
illumina_10x_spades_orig_s13,illumina,10,spades,orig,13,702.63,40.18
illumina_20x_spades_orig_s13,illumina,20,spades,orig,13,1303.75,57.91
illumina_30x_spades_orig_s13,illumina,30,spades,orig,13,1912.5,74.82
illumina_50x_spades_orig_s13,illumina,50,spades,orig,13,2982.93,119.57
ont_r9_5x_flye_orig_s13,ont_r9,5,flye,orig,13,8327.89,91.63
ont_r9_5x_raven_orig_s13,ont_r9,5,raven,orig,13,457.97,1.5
ont_r9_5x_miniasm_orig_s13,ont_r9,5,miniasm,orig,13,350.66,1.09
ont_r9_10x_flye_orig_s13,ont_r9,10,flye,orig,13,8419.62,94.92
ont_r9_10x_raven_orig_s13,ont_r9,10,raven,orig,13,860.98,7.84
ont_r9_10x_miniasm_orig_s13,ont_r9,10,miniasm,orig,13,661.06,2.18
ont_r9_20x_flye_orig_s13,ont_r9,20,flye,orig,13,8569.4,104.17
ont_r9_20x_raven_orig_s13,ont_r9,20,raven,orig,13,1610.35,18.82
ont_r9_20x_miniasm_orig_s13,ont_r9,20,miniasm,orig,13,1065.96,4.35
ont_r9_30x_flye_orig_s13,ont_r9,30,flye,orig,13,8856.39,132.97
ont_r9_30x_raven_orig_s13,ont_r9,30,raven,orig,13,2346.46,28.35
ont_r9_30x_miniasm_orig_s13,ont_r9,30,miniasm,orig,13,1916.02,7.22
ont_r9_50x_flye_orig_s13,ont_r9,50,flye,orig,13,9461.37,163.82999999999998
ont_r9_50x_raven_orig_s13,ont_r9,50,raven,orig,13,3499.26,47.19
ont_r9_50x_miniasm_orig_s13,ont_r9,50,miniasm,orig,13,3605.49,14.16
ont_r10_5x_flye_orig_s13,ont_r10,5,flye,orig,13,8446.73,42.41
ont_r10_5x_raven_orig_s13,ont_r10,5,raven,orig,13,266.57,1.71
ont_r10_5x_miniasm_orig_s13,ont_r10,5,miniasm,orig,13,296.0,1.81
ont_r10_10x_flye_orig_s13,ont_r10,10,flye,orig,13,8487.09,56.86
ont_r10_10x_raven_orig_s13,ont_r10,10,raven,orig,13,510.24,6.71
ont_r10_10x_miniasm_orig_s13,ont_r10,10,miniasm,orig,13,577.0,5.32
ont_r10_20x_flye_orig_s13,ont_r10,20,flye,orig,13,8669.2,88.64
ont_r10_20x_raven_orig_s13,ont_r10,20,raven,orig,13,883.78,13.56
ont_r10_20x_miniasm_orig_s13,ont_r10,20,miniasm,orig,13,954.75,16.94
ont_r10_30x_flye_orig_s13,ont_r10,30,flye,orig,13,8822.03,117.1
ont_r10_30x_raven_orig_s13,ont_r10,30,raven,orig,13,1226.02,20.0
ont_r10_30x_miniasm_orig_s13,ont_r10,30,miniasm,orig,13,1653.96,35.37
ont_r10_50x_flye_orig_s13,ont_r10,50,flye,orig,13,9146.68,208.87
ont_r10_50x_raven_orig_s13,ont_r10,50,raven,orig,13,1887.36,32.61
ont_r10_50x_miniasm_orig_s13,ont_r10,50,miniasm,orig,13,2659.16,91.18
illumina_30x_spades_rep_v1_s13,illumina,30,spades,rep_v1,13,1917.25,76.43
ont_r10_30x_flye_rep_v1_s13,ont_r10,30,flye,rep_v1,13,8820.34,117.13
hifi_30x_hifiasm_rep_v1_s13,hifi,30,hifiasm,rep_v1,13,16943.81,22.33
illumina_30x_spades_rep_v2_s13,illumina,30,spades,rep_v2,13,1918.5,83.97
ont_r10_30x_flye_rep_v2_s13,ont_r10,30,flye,rep_v2,13,8820.36,123.81
hifi_30x_hifiasm_rep_v2_s13,hifi,30,hifiasm,rep_v2,13,16924.07,21.42
illumina_30x_spades_plasmid_s13,illumina,30,spades,plasmid,13,1932.5,73.94
ont_r10_30x_flye_plasmid_s13,ont_r10,30,flye,plasmid,13,8850.74,113.89
hifi_30x_hifiasm_plasmid_s13,hifi,30,hifiasm,plasmid,13,16957.85,20.95
